72 [510.425751, 433.843689], [528.844177, 368.020508], [453.379333, 367.255768], [439.203705, 433.926331] 
73 [534.188538, 352.957733], [556.039734, 275.705048], [473.947693, 272.297974], [456.416626, 352.205475] 
74 [560.933167, 258.646942], [587.508850, 166.977646], [498.658295, 158.143463], [477.740051, 254.633698] 
78 [423.571808, 434.847473], [437.502136, 366.940918], [354.640625, 366.429077], [346.434875, 435.569153] 
79 [440.159882, 352.252991], [456.722778, 271.415009], [367.075226, 267.952820], [356.860962, 350.546692] 
80 [460.112671, 253.698624], [479.947113, 156.730637], [381.813019, 148.435516], [369.249451, 249.429520] 
84 [329.765656, 435.867004], [337.685547, 366.029419], [249.180817, 365.075867], [247.665314, 436.792725] 
85 [339.539581, 350.687256], [348.524109, 267.005371], [251.130280, 262.424194], [249.256134, 348.706451] 
86 [350.349792, 248.573792], [361.059052, 146.041260], [253.569580, 136.721268], [251.396103, 243.483109] 
90 [230.314346, 436.218323], [230.672440, 364.618134], [135.627686, 363.706329], [143.214157, 436.551086] 
91 [231.027802, 348.818085], [230.462006, 262.052612], [126.331413, 256.530640], [134.231583, 347.223450] 
92 [230.050308, 242.351547], [230.923355, 134.517319], [113.249031, 124.106049], [123.465889, 236.830521] 
