0 [533.403931, 361.518066], [487.894409, 303.236084], [444.521088, 354.339447], [493.650940, 418.761078] 
1 [478.925110, 291.999054], [434.602417, 234.624451], [386.608124, 278.669159], [434.618774, 341.639435] 
2 [425.663788, 223.112640], [381.926453, 166.486649], [329.314819, 204.325180], [376.703430, 266.537537] 
3 [373.149445, 155.445114], [329.803070, 99.585587], [272.662720, 130.768448], [319.730835, 191.794266] 
4 [321.076385, 88.244225], [278.178131, 33.465385], [217.076675, 58.714642], [263.468323, 118.696014] 
6 [484.111145, 430.590332], [434.735565, 365.684296], [380.623962, 429.472778], [434.993530, 502.187500] 
7 [424.847015, 352.641296], [375.748077, 288.748138], [315.520691, 344.314636], [369.376984, 415.072418] 
8 [366.128418, 275.709869], [317.521606, 212.666306], [251.668961, 260.327789], [304.689453, 329.901154] 
9 [307.768036, 200.350616], [259.969482, 138.052490], [188.883011, 177.313126], [240.896881, 246.250046] 
10 [250.471802, 125.478027], [203.474731, 64.495567], [126.871017, 96.524277], [178.344757, 163.552246] 
13 [357.224915, 429.309082], [301.905853, 356.388794], [223.546387, 428.760132], [285.402130, 510.165283] 
14 [291.185638, 342.362152], [236.831940, 270.758362], [151.871933, 331.482758], [212.496689, 411.856781] 
15 [225.684662, 256.581818], [172.683853, 186.244293], [81.421310, 236.893875], [140.391663, 315.678040] 
20 [194.673477, 427.895844], [132.888336, 345.798340], [19.315750, 428.289307], [89.980255, 521.142334] 
