0 [115.078987, 310.928009], [149.466843, 369.868286], [197.423553, 324.609589], [159.459518, 266.326630] 
1 [156.503372, 382.487610], [196.309845, 450.273621], [250.499222, 405.222992], [205.825302, 337.219727] 
6 [168.545181, 256.576050], [207.676178, 315.532196], [261.423981, 264.934143], [217.364151, 206.914352] 
7 [216.356918, 327.945129], [262.178772, 395.913879], [323.549255, 346.199799], [271.280151, 277.554596] 
8 [272.221863, 410.641357], [325.545319, 489.855896], [395.319946, 440.328522], [334.520050, 360.561035] 
12 [227.760986, 196.227432], [273.400757, 254.508423], [333.707581, 197.924789], [282.375671, 141.086487] 
13 [283.045471, 267.154510], [336.575226, 335.711182], [405.731873, 278.137268], [345.361877, 210.558060] 
14 [348.295959, 349.997894], [410.600220, 430.487457], [491.359070, 373.806244], [419.178070, 293.299011] 
15 [424.860962, 448.106689], [499.658234, 543.837036], [594.334106, 489.302307], [507.013184, 391.817047] 
18 [293.567627, 129.440903], [346.637665, 185.942001], [415.144775, 123.034286], [354.218384, 67.979507] 
19 [358.275299, 198.506134], [420.533936, 266.677826], [499.382080, 201.636108], [427.925323, 135.320862] 
20 [434.137939, 281.155548], [508.176422, 361.720123], [600.317200, 296.711121], [514.866089, 216.625336] 
21 [524.603149, 379.675385], [614.733032, 477.540344], [725.045105, 413.355591], [618.715576, 314.771545] 
25 [442.848785, 121.607040], [516.029724, 188.723862], [607.200012, 114.474014], [522.195801, 49.560822] 
26 [531.915283, 202.578445], [620.695801, 282.531616], [728.946106, 206.899063], [625.671204, 128.159317] 
